"학교생활 만족도","학교 진로활동 만족도","학교 진로활동 진로와 직업 수업 경험","학교 진로활동 진로와 직업 수업 만족도","학교 진로활동 교과 수업 중 진로탐색 경험","학교 진로활동 교과 수업 중 진로탐색 만족도","학교 진로활동 진로심리검사 경험","학교 진로활동 진로심리검사 만족도","학교 진로활동 진로체험 경험","학교 진로활동 진로체험 만족도","학교 진로활동 진로상담 경험","학교 진로활동 진로상담 만족도","학교 진로활동 진로동아리 경험","학교 진로활동 진로동아리 만족도","학교 진로활동 창업체험교육 경험","학교 진로활동 창업체험교육 만족도","진로와 직업 수업 참여 의향","교과 수업 중 진로탐색 참여 의향","진로심리검사 참여 의향","진로체험 참여 의향","진로상담 참여 의향","진로동아리 참여 의향","창업체험교육 참여 의향","참여경험 강연형대화형(학교 진로체험)","도움정도 강연형대화형(학교 진로체험)","참여경험 현장견학형(학교 진로체험)","도움정도 현장견학형(학교 진로체험)","참여경험 직업실무체험형(학교 진로체험)","도움정도 직업실무체험형(학교 진로체험)","참여경험 현장직업체험형(학교 진로체험)","도움정도 현장직업체험형(학교 진로체험)","참여경험 학과체험형(학교 진로체험)","도움정도 학과체험형(학교 진로체험)","참여경험 진로캠프형(학교 진로체험)","도움정도 진로캠프형(학교 진로체험)","경험해보고 싶은 활동1","경험해보고 싶은 활동2","경험해보고 싶은 활동3","경험해보고 싶은 활동4","경험해보고 싶은 활동5","경험해보고 싶은 활동6","진로체험 활동 참여시 희망대로 운영여부","활동경험 교과수업 중 도전(기업가)정신 및 창업체험교육","만족도 교과수업 중 도전(기업가)정신 및 창업체험교육","활동경험 도전(창업가)정신에 관한 특강 및 창업 관련 멘토링","만족도 도전(창업가)정신에 관한 특강 및 창업 관련 멘토링","활동경험 창업동아리 활동","만족도 창업동아리 활동","활동경험 창업경진대회 참가","만족도 창업경진대회 참가","활동경험 학교 밖 창업교육 프로그램(창업캠프 등)","만족도 학교 밖 창업교육 프로그램(창업캠프 등)","살아가면서 도전(창업가)정신을 가질 필요가 있다","어려운 일이라도 도전(창업가)정신으로 해낼 수 있을 것 같다","도전(창업가)정신을 키우는 방법이 있다면 한번 배우고 싶다","커리어넷(진로정보망) 인지 여부","워크넷 인지 여부","특성화고.마이스터고 포털(하이파이브) 인지 여부","대입정보포털(어디가) 인지 여부","꿈길(진로체험망) 인지 여부","YEEP(온라인 창업체험교육 플랫폼) 인지 여부","원격 영상 진로멘토링 인지 여부","크레존  인지 여부","진로 관련 정보의 주요 획득경로1","진로 관련 정보의 주요 획득경로2","진로 관련 정보의 주요 획득경로3","진로 관련 정보의 주요 획득경로4","진로 관련 정보의 주요 획득경로5","진로 관련 정보의 주요 획득경로6","진로 관련 정보의 주요 획득경로7","진로 관련 정보의 주요 획득경로8","진로 관련 정보의 주요 획득경로9","진로 관련 정보의 주요 획득경로10","진로 관련 정보의 주요 획득경로11","진로 관련 정보의 주요 획득경로12","진로 관련 정보의 주요 획득경로13","진로 관련 정보의 주요 획득경로14","진로 관련 정보의 주요 획득경로15","자기이해 정보 필요정도","진로체험 정보 필요정도","직업정보 필요정도","학과정보 필요정도","진학입시정보 필요정도","진로설계 정보 필요정도","학습 방법 정보 필요정도","취업정보 필요정도","창업 관련 정보 필요정도","학교생활(친구 관계, 선생님과의 관계 등)에 대한 부모님(보호자)과 대화 빈도","나의 흥미와 적성, 희망직업(꿈)에 대한 부모님(보호자)과 대화 빈도","학교 및 학과 선택에 대한 부모님과 대화 빈도","공부(학습)와 성적에 대한 부모님(보호자)과 대화 빈도","학교 교육활동으로 진학 지원 프로그램 참여 여부","학교 교육활동으로 취업 지원 프로그램 참여 여부","활동 경험 진로심리검사받기(외부기관)","만족도 진로심리검사받기(외부기관)","활동 경험 진로체험하기(외부기관)","만족도 진로체험하기(외부기관)","활동 경험 진로상담받기(외부기관)","만족도 진로상담받기(외부기관)","참여경험 강연형대화형(외부기관)","도움정도 강연형대화형(외부기관)","참여경험 현장견학형(외부기관)","도움정도 현장견학형(외부기관)","참여경험 직업실무체험형(외부기관)","도움정도 직업실무체험형(외부기관)","참여경험 현장직업체험형(외부기관)","도움정도 현장직업체험형(외부기관)","참여경험 학과체험형(외부기관)","도움정도 학과체험형(외부기관)","참여경험 진로캠프형(외부기관)","도움정도 진로캠프형(외부기관)","희망 직업의 유무","희망 직업(또는 직업 분야)","구체적 희망 직업(또는 직업 분야)(주관식)","구체적 희망 직업(또는 직업 분야)","희망 직업의 업무 내용에 대한 인지 정도","직업을 알게 된 경로1","직업을 알게 된 경로2","직업을 알게 된 경로3","직업을 알게 된 경로4","직업을 알게 된 경로5","직업을 알게 된 경로6","직업을 알게 된 경로7","직업을 알게 된 경로8","직업을 알게 된 경로9","직업을 알게 된 경로10","직업을 알게 된 경로11","직업을 알게 된 경로12","직업을 알게 된 경로_기타(주관식)","직업을 알게 된 경로_기타","희망 직업 선택 이유","희망 직업 선택 이유-기타(주관식)","희망 직업 선택 이유-기타","희망하는 직업에 대한 체험 경험 유무","희망직업에 대한 학생과 학부모의 일치 여부","고등학교 졸업 직후 진로 계획","진학 희망 전공.학과 분야1","진학 희망 전공.학과 분야2","진학 희망 학과명(주관식)","진학 희망 학과명","취업 희망 이유","취업 희망 이유-기타(주관식)","취업 희망 이유-기타","희망 취업처","희망 취업처-기타(주관식)","희망 취업처-기타","희망 급여 최소 금액","창업과 관련 학교의 지원 중 가장 필요한것","창업과 관련 학교의 지원 중 가장 필요한것-기타","진로 관련 정보 인지 수준","진로준비 수준","중소기업 취업 관심 정도","중소기업 취업에 관심이 없는 이유","중소기업 취업에 관심이 없는 이유-기타(주관식)","중소기업 취업에 관심이 없는 이유-기타","중소기업 취업에 관심이 있는 이유","중소기업 취업에 관심이 있는 이유-기타(주관식)","중소기업 취업에 관심이 있는 이유-기타","창업에 대한 관심 정도","창업에 관심이 있는 이유","창업에 관심이 있는 이유-기타(주관식)","창업에 관심이 있는 이유-기타","희망교육 수준","진로인식 나는 스스로를 소중한 존재라고 생각한다","진로인식 나는 자기관리(시간, 돈, 건강 관리) 방법을 알고 있다","진로인식 나는 내가 무엇을 좋아하는지 알고 있다","진로인식 나는 내가 무엇을 잘하는지 알고 있다","진로인식 나는 원만한 대인관계(친구, 가족 관계 등)를 위해 노력하고 있다","진로인식 나는 여러 가지 상황(대화, 발표, 토론 등)에 맞게 나의 의견을 표현할 수 있다","진로인식 나는 새로운 직업이나 진로를 개척한 사람들의 사례를 알고 있다","진로인식 나는 일과 직업 세계가 어떻게 변화되어 왔는지 알고 있다","진로인식 나는 내가 원하는(혹은 관심 있는) 직업에서 필요한 직업윤리에 대하여 설명할 수 있다","진로인식 나는 직업을 통해 사회활동을 하는 것이 중요하다고 생각한다","진로인식 나는 우리 사회에서 흔히 볼 수 있는 직업에 대한 편견과 고정관념을 설명할 수 있다","진로인식 나는 고등학교 졸업 이후에 이용할 수 있는 다양한 교육기관의 종류를 설명할 수 있다","진로인식 나는 내가 원하는 고등교육기관의 학과의 정보에 대하여 여러 가지 방법으로 탐색할 수 있다","진로인식 나는 희망(관심) 직업의 정보를 여러 가지 방법을 통하여 탐색할 수 있다","진로인식 나는 여러 가지 직업정보 중 믿을 수 있는 정보와 그렇지 않은 것을 판단할 수 있다","진로인식 나는 내가 원하는(혹은 관심 있는) 직업을 갖기 위해서 필요한 학력이나 자격 등에 대한 정보를 알고 있다","진로인식 나는 나의 특성과 환경을 고려하여 장기적인 진로계획을 세울 수 있다","진로인식 나는 고등학교 졸업 이후의 내 진로(대학 진학, 취업, 창업 등)에 대한 계획이 있다","진로인식 나는 내가 원하는 진로(대학 진학, 취업, 창업 등)를 준비하는 방법을 알고 있다","진로인식 나는 진로(대학 진학, 취업, 창업 등)를 선택할 때 중요하게 생각하는 기준이 있다","진로인식 나는 진로를 준비할 때 발생하는 어려움을 극복할 수 있다","학습동기 나는 무언가를 배우는 것이 즐겁다","학습동기 나는 공부가 미래에 도움이 될 것 같아서 한다","학습동기 공부를 안 하면 다른 친구들에 비해 뒤처질 것 같다","학습동기 부모님의 기대에 따르기 위해 공부한다","학습동기 선생님의 기대에 따르기 위해 공부한다","학습태도 공부할 때 먼저 무엇부터 할까 스스로 계획을 세운다","학습태도 공부하다가 모르는 것이 나오면 여러 가지 방법을 사용해서 알아낸다","학습태도 나에게 가장 효과적인 학습 방법을 생각하며 공부한다","학습태도 숙제나 해야 할 일은 어렵더라도 해결하려고 한다","진로교육 현황조사 조사 문항을 이해하기 쉬웠다","진로교육 현황조사 조사 문항에 응답하기 쉬웠다","진로교육 현황조사 나의 진로에 대해 생각해 보는 데 도움이 되었다","가중치"
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,1,2,1,5,2,,2,,2,,2,,2,,,,3,,5,,3,2,,2,,2,,2,,2,,5,4,4,1,1,2,2,2,2,1,2,1,2,,,,,,,,,,,13,,,4,4,4,4,4,4,4,4,4,5,3,3,4,2,2,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,18,21,전기전자,99,,,,,,,,,,1,2,4,,,,3,,,2,,,,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,1,5,5,5,4,4,4,4,93.183039
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,2,1,1,5,1,5,1,5,1,5,1,5,1,5,,,,4,5,,5,1,5,1,5,1,5,1,5,1,5,5,5,5,1,2,1,2,1,2,1,2,,,,,,,,,,,11,12,,14,,5,5,5,5,4,4,4,4,4,5,5,3,5,1,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,9,전기기사,95,2,,,,,,6,,,9,,,,,,3,,,2,1,1,18,23,전기학과,99,,,,,,,,,,2,3,4,,,,4,,,3,1,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27.309436
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,2,1,1,5,1,5,1,5,2,,1,5,2,,,,,4,,6,5,2,,2,,2,,2,,2,,5,3,5,1,1,2,1,2,2,2,2,1,2,,,,,,,,,,,13,,,4,5,5,5,5,5,5,5,3,4,3,3,4,1,2,1,4,1,5,1,4,2,,2,,2,,2,,2,,2,,1,13,경영분야,12,4,,,,,,,,8,,10,,,,,1,,,1,2,1,4,6,경영학과,6,,,,,,,,,,4,4,4,,,,4,,,3,5,,,3,5,5,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,4,4,2,1,3,4,4,3,4,4,4,43.031076
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,2,1,2,,2,,2,,2,,2,,2,,1,2,,,,,5,2,,2,,2,,2,,2,,5,5,5,2,2,2,2,2,2,2,2,1,2,3,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,62,체육관련,993,3,,,3,,,6,,,,,,,,,1,,,1,1,1,38,,체육학과,117,,,,,,,,,,4,5,4,,,,2,,,3,5,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,42.162709
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,2,2,1,5,1,5,1,5,1,5,1,5,1,5,1,,,4,,,5,1,5,1,5,1,5,1,5,1,5,5,5,5,1,1,1,1,1,1,1,1,1,2,,4,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,10,의사,83,5,1,,,,,,,,,,11,,,,10,오랫동안 꿈꿔왔던 직업이라서,1,1,1,1,27,,의예과,90,,,,,,,,,,5,5,5,,,,3,,,5,1,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27.309436
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,2,2,1,5,2,,2,,2,,2,,2,,1,,,,5,,5,2,,1,3,2,,2,,2,,3,3,3,1,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,5,2,,2,,1,5,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,43,,국어국문학과,19,,,,,,,,,,1,3,3,,,,,,,5,4,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97.42201
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,2,2,1,5,2,,2,,2,,2,,2,,1,,,4,,,4,1,5,1,5,2,,2,,2,,4,5,5,1,1,2,1,2,2,2,2,,,,4,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,11,중등역사교사,24,5,1,,,,,,,,,,11,,,,1,,,2,2,1,1,2,역사교육학과,112,,,,,,,,,,5,5,1,2,,,,,,1,,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,90.35931
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,2,1,1,1,4,1,5,2,,2,,1,5,1,5,,,3,4,,,5,2,,2,,2,,2,,2,,4,4,5,1,1,2,1,2,2,2,2,,,,,,6,,,,10,,12,,,,3,4,4,5,5,5,5,4,4,5,3,2,3,1,2,2,,1,5,1,5,2,,1,5,2,,2,,1,5,1,5,1,31,종자연구원,58,4,,,,,,,,,9,,,,,,1,,,2,1,1,26,,응용생물학과,58,,,,,,,,,,4,4,4,,,,3,,,4,3,,,4,5,4,4,4,4,5,5,5,5,5,3,4,4,4,4,4,4,4,4,5,5,4,4,4,2,1,3,4,4,4,5,5,5,50.216835
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,2,1,1,1,4,1,5,2,,2,,1,5,1,5,1,,,,5,,4,1,5,1,4,1,5,2,,1,5,4,5,5,1,1,2,2,2,1,1,1,1,2,,,,,,8,,,,,,,,5,4,5,4,4,4,4,4,5,5,5,5,5,1,1,1,5,1,4,1,4,1,5,1,5,1,4,1,4,2,,1,5,1,7,물리학자,58,5,,,,,,,,8,,10,,,,,1,,,1,1,1,27,29,물리학과,44,,,,,,,,,,5,5,2,2,,,,,,4,3,,,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,36.139465
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,2,1,1,1,5,1,5,2,,1,5,1,5,2,,,2,,,5,,5,2,,2,,2,,2,,2,,5,4,5,1,2,2,2,2,2,2,2,1,,,,,,,,,10,,12,,,,3,4,4,5,5,4,4,5,4,4,4,4,3,1,2,1,3,1,5,1,5,1,5,2,,2,,2,,1,5,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,1,17,21,컴퓨터공학,121,,,,,,,,,,4,5,3,,,,,,,4,4,,,4,5,5,4,5,5,3,4,4,3,3,3,4,5,5,4,4,4,4,3,4,4,5,5,4,2,2,5,5,5,5,5,5,5,8.166144
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,2,1,1,2,,2,,2,,2,,2,,2,,,,,4,5,,5,2,,2,,2,,2,,2,,5,5,5,1,1,2,2,2,2,2,2,,,,,,6,,,9,,,,,14,,1,1,1,1,1,4,3,3,5,5,5,5,5,2,2,2,,1,5,2,,1,5,1,5,2,,1,5,1,5,2,,1,62,카페창업,91,5,,,,,,6,,,9,,,,,,2,,,1,1,2,,,,,5,,,1,,,3,,,5,5,3,,,,,,,5,3,,,1,5,5,5,5,4,5,5,4,5,5,4,3,3,5,5,5,4,5,5,5,5,5,5,3,1,1,5,4,5,5,5,5,5,25.580711
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,2,2,1,1,3,2,,2,,2,,2,,1,4,,2,,,5,,5,1,5,1,4,2,,2,,2,,4,4,4,1,1,2,2,2,2,2,2,1,2,,,,,,,,,,,13,,,4,4,3,5,4,3,4,3,4,4,5,4,4,1,2,1,4,2,,2,,1,4,2,,1,3,2,,2,,2,,1,7,수학자,58,5,1,2,,,,,,,,,,,,,1,,,2,1,1,29,,통계학과,124,,,,,,,,,,5,4,2,5,,,,,,3,4,,,4,4,5,4,3,4,5,4,4,4,5,4,5,3,4,3,4,3,3,4,4,4,5,5,3,5,2,5,5,5,5,4,5,2,16.332289
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,2,2,2,1,4,1,4,2,,1,4,2,,2,,,2,,4,,,4,1,4,1,4,2,,2,,2,,4,4,4,2,2,2,2,2,2,2,2,,,,,5,6,,,,,,,13,,,4,4,4,4,4,4,4,4,4,4,4,3,4,1,2,1,4,1,4,2,,1,4,1,4,2,,1,4,1,4,2,,1,16,법조인,49,4,1,,,,5,,,,,,,,,,4,,,1,1,1,18,22,정확히없음,998,,,,,,,,,,4,4,2,3,,,,,,3,1,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,2,93.139723
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,2,1,1,2,1,5,2,,1,5,1,5,1,5,1,5,,,,4,,6,5,2,,1,5,2,,2,,2,,5,5,5,1,1,1,1,2,2,2,2,1,,,,,,,,,,11,,,14,,5,4,5,5,5,5,4,3,3,5,5,5,5,2,2,1,5,1,3,1,5,1,3,2,,2,,2,,2,,2,,1,9,비행기조종사,122,5,1,,,,,,,,,10,,,,,1,,,2,1,1,17,29,항공운항과,129,,,,,,,,,,5,5,4,,,,4,,,3,3,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,28.914157
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,2,1,2,1,2,,2,,1,5,1,5,2,,1,5,,,,4,5,,5,1,5,1,5,2,,2,,2,,5,5,5,2,1,2,2,2,2,2,2,,,,,,,,8,,10,11,,,,,1,4,3,3,3,3,3,3,3,3,4,3,2,1,2,1,5,1,5,1,5,2,,2,,1,5,1,5,1,5,2,,1,61,부사관,29,4,1,,,,,,,,9,,,,,,1,,,2,2,2,,,,,2,,,2,,,3,,,3,3,5,,,,3,,,3,4,,,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,21.872955
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,2,1,2,2,1,3,1,3,1,3,1,3,1,3,2,,1,,,,,,3,2,,2,,2,,2,,1,1,1,2,1,1,1,2,1,2,2,1,1,,,,,,,,,9,,11,,13,,,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,,2,,1,5,2,,2,,2,,2,,2,,2,,1,16,공기업취직,18,3,1,2,,,,,,,,,,,,,4,,,2,1,1,6,,행정학과,133,,,,,,,,,,4,4,4,,,,3,,,3,4,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,67.944777
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,2,1,2,2,1,4,1,4,1,3,1,3,1,3,1,4,1,2,,,,,4,1,4,1,4,2,,2,,2,,4,4,4,1,1,2,1,2,2,2,2,,,,,,,,,9,,11,,,14,,4,3,3,3,5,3,2,4,4,5,5,5,5,1,2,1,5,1,4,1,4,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,22,,산업공학과,55,,,,,,,,,,3,3,2,1,,,,,,2,,,,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,4,4,5,5,4,4,3,88.006203
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,1,1,1,1,4,1,4,1,4,1,4,2,,2,,,2,,4,,,3,2,,2,,1,3,2,,1,3,5,5,5,1,2,2,1,1,2,2,2,1,,,,,,7,,9,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,2,,1,3,1,3,1,3,2,,2,,2,,2,,1,16,Ceo,14,5,1,,,,,6,,,,,,,,,1,,,1,1,1,4,,경영학과,6,,,,,,,,,,4,4,1,4,,,,,,5,1,,,4,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,1,1,3,3,3,3,3,3,3,64.89745
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,1,1,1,1,5,1,5,1,5,1,5,1,5,1,5,,,,4,,6,5,1,5,1,5,1,5,1,5,1,5,5,5,5,1,1,2,2,2,2,2,2,,,,,,,,,,10,11,,,14,,3,3,3,3,3,3,3,3,3,3,4,3,5,2,2,1,5,1,5,1,5,1,3,1,3,1,3,1,3,1,3,1,3,1,9,건축가,10,4,,,,,,,,8,9,,,,,,1,,,2,3,1,14,39,건축학과,4,,,,,,,,,,4,3,4,,,,3,,,4,1,,,3,5,5,5,5,5,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,26.609784
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,1,1,1,1,5,1,5,1,5,2,,1,5,1,5,1,,,,5,,5,1,5,1,5,1,5,1,5,2,,5,5,3,1,1,1,1,1,1,1,2,1,2,,,,,,,,,11,,,,,2,2,2,2,3,2,2,2,2,3,3,2,3,1,1,1,3,2,,1,3,1,4,2,,2,,2,,1,4,1,4,1,15,의사,83,4,1,,3,,,,,,,,,,,,1,,,2,1,5,,,,,,,,,,,,,,,,1,4,,,,,,1,,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,101.48126
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,1,1,1,2,,2,,2,,2,,2,,2,,1,2,,,,,5,2,,2,,1,5,2,,2,,5,5,5,1,1,1,1,1,1,1,1,,2,,4,,,,8,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,25,서비스업,994,5,,,,,5,,,8,,,,,,,7,,,2,1,2,,,,,1,,,1,,,2,,,5,5,5,,,,2,,,5,3,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57.40321
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,2,1,1,1,3,1,3,1,3,1,4,1,3,1,4,,2,,4,,,3,2,,2,,2,,2,,1,3,4,4,4,1,1,2,1,2,2,2,2,1,,,4,,,,,,,,,,,,4,4,4,4,4,4,4,4,2,5,5,5,5,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,14,배우,48,4,,,,,,,,8,9,,,,,,1,,,2,1,1,40,,연극영화과,81,,,,,,,,,,4,3,4,,,,3,,,3,4,,,3,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,3,3,3,3,3,3,3,44.388096
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,2,1,1,1,5,2,,2,,2,,2,,2,,1,,,,,6,4,2,,2,,2,,2,,2,,5,4,5,2,2,1,2,2,2,2,2,,,3,,,,,,,10,11,,,,,4,4,5,5,5,4,4,5,4,5,4,3,3,2,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,9,건축가,10,5,1,,,,,,7,,,,,,,,2,,,2,3,2,,,,,1,,,2,,,3,,,4,3,4,,,,1,,,3,3,,,1,5,5,4,4,5,3,4,5,3,5,3,3,4,4,3,4,5,5,4,4,5,4,3,3,2,2,3,4,3,5,5,5,5,28.412278
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,2,2,1,1,4,2,,2,,2,,2,,2,,,,3,4,,,4,1,5,1,5,1,5,2,,2,,4,4,4,1,1,2,2,2,2,2,2,,,,,,,,8,,10,11,,,,,1,4,1,1,4,4,4,4,4,1,1,1,1,1,2,1,4,2,,1,4,2,,2,,2,,2,,2,,2,,1,8,게임기획자,11,5,,,,,,,,8,,10,,,,,1,,,2,3,1,4,21,게임학과,31,,,,,,,,,,5,4,4,,,,4,,,3,3,,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.203263
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,2,1,2,2,1,1,5,1,5,1,5,1,5,1,5,2,,,2,,4,,,2,1,4,1,5,2,,2,,2,,5,4,4,1,1,2,2,2,2,2,2,1,,,,,,,,9,,,,,,,5,5,5,5,5,5,4,5,3,5,5,4,5,1,2,1,5,1,5,1,5,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,33,42,아직미정,998,,,,,,,,,,3,3,2,6,사람은 크게 놀아야한다고 부모님이 말씀하심,4,,,,2,,,,3,2,2,3,2,4,5,3,2,3,3,2,3,4,3,3,3,2,3,3,3,3,4,4,4,5,1,3,4,3,4,4,4,3,36.746845
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,2,1,1,1,1,1,1,3,1,3,1,3,1,3,1,3,2,,,2,,4,,,3,2,,2,,2,,2,,2,,4,5,3,1,1,2,2,2,2,2,2,1,,,,,,,8,,,11,,,,,5,5,5,5,5,5,5,5,4,4,4,3,3,1,1,1,4,1,5,1,5,1,3,1,3,1,3,1,3,1,3,2,,1,61,육군부사관,29,4,1,2,,,,,,,,,,,,,5,,,2,3,4,,,,,,,,,,,,,,,3,3,,,,,,,2,,,,1,5,4,5,5,5,3,2,3,3,5,3,3,3,3,3,3,4,5,5,5,4,5,4,4,3,2,3,3,4,5,3,3,5,38.892754
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,2,1,1,2,1,1,1,5,2,,1,5,1,5,1,5,1,5,,2,,4,,,4,1,5,1,5,1,5,1,5,1,5,5,5,5,1,1,1,2,2,1,2,2,1,,,,,,,,,,,,13,14,,5,4,5,4,4,5,5,5,3,4,4,4,5,1,1,1,5,1,5,1,4,1,5,2,,1,5,2,,1,5,2,,1,14,애니메이터,109,4,,,3,,,,,,9,,,,,,1,,,2,3,1,37,39,만화콘텐츠학과,33,,,,,,,,,,3,3,4,,,,4,,,5,3,,,2,5,4,5,4,5,5,4,4,4,5,5,4,5,4,4,4,5,5,4,5,5,5,4,4,5,4,4,5,3,4,5,2,2,39.914676
5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,2,1,2,2,1,1,1,5,1,5,1,5,1,5,1,5,1,5,,,,,,6,5,1,5,1,5,1,5,1,5,1,5,5,5,5,2,1,2,1,1,1,2,1,1,,,,5,,,,,10,,,,,,4,4,4,4,4,4,4,4,4,3,3,3,3,1,2,1,4,2,,1,4,1,4,2,,1,4,2,,2,,1,4,1,7,연구원,72,3,1,2,,,,,,,,,,,,,8,,,2,1,2,,,,,6,음,999,1,,,7,,,4,3,3,,,,,,,4,4,,,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,5,5,5,5,4,4,4,6.895855
